"","date","Tmax"
"1","2010-01-01",4.83
"2","2010-01-02",2.72
"3","2010-01-03",0.25
"4","2010-01-04",1.93
"5","2010-01-05",0.43
"6","2010-01-06",-0.66
"7","2010-01-07",-0.14
"8","2010-01-08",1.12
"9","2010-01-09",1.7
"10","2010-01-10",0.98
"11","2010-01-11",1.33
"12","2010-01-12",1.79
"13","2010-01-13",2.85
"14","2010-01-14",5.82
"15","2010-01-15",7.34
"16","2010-01-16",9.14
"17","2010-01-17",7.86
"18","2010-01-18",7.51
"19","2010-01-19",2.53
"20","2010-01-20",7.51
"21","2010-01-21",8.1
"22","2010-01-22",6.08
"23","2010-01-23",6.2
"24","2010-01-24",4.15
"25","2010-01-25",2.43
"26","2010-01-26",6.74
"27","2010-01-27",6.91
"28","2010-01-28",5.28
"29","2010-01-29",3.26
"30","2010-01-30",3.34
"31","2010-01-31",6.04
"32","2010-02-01",8.33
"33","2010-02-02",8.58
"34","2010-02-03",8.1
"35","2010-02-04",11.4
"36","2010-02-05",6.89
"37","2010-02-06",5.25
"38","2010-02-07",2.45
"39","2010-02-08",5.19
"40","2010-02-09",3.25
"41","2010-02-10",3.23
"42","2010-02-11",4.45
"43","2010-02-12",3.71
"44","2010-02-13",4.43
"45","2010-02-14",4.56
"46","2010-02-15",5.54
"47","2010-02-16",8.3
"48","2010-02-17",5.82
"49","2010-02-18",6.22
"50","2010-02-19",6.5
"51","2010-02-20",7.32
"52","2010-02-21",2.81
"53","2010-02-22",7.02
"54","2010-02-23",10.8
"55","2010-02-24",9.25
"56","2010-02-25",8.57
"57","2010-02-26",10.17
"58","2010-02-27",6.13
"59","2010-02-28",10.03
"60","2010-03-01",10.01
"61","2010-03-02",6.9
"62","2010-03-03",7.51
"63","2010-03-04",8.88
"64","2010-03-05",7.49
"65","2010-03-06",5.12
"66","2010-03-07",6.73
"67","2010-03-08",7.54
"68","2010-03-09",6.03
"69","2010-03-10",6.71
"70","2010-03-11",8.86
"71","2010-03-12",9.01
"72","2010-03-13",12.19
"73","2010-03-14",12.9
"74","2010-03-15",12.36
"75","2010-03-16",14.16
"76","2010-03-17",16.11
"77","2010-03-18",12.26
"78","2010-03-19",12.82
"79","2010-03-20",12.91
"80","2010-03-21",11.92
"81","2010-03-22",10.97
"82","2010-03-23",16.53
"83","2010-03-24",14.07
"84","2010-03-25",12.61
"85","2010-03-26",13.18
"86","2010-03-27",12.79
"87","2010-03-28",11.74
"88","2010-03-29",11.4
"89","2010-03-30",6.97
"90","2010-03-31",10.03
"91","2010-04-01",10.67
"92","2010-04-02",11.14
"93","2010-04-03",11.44
"94","2010-04-04",13.19
"95","2010-04-05",15.39
"96","2010-04-06",11.01
"97","2010-04-07",16.29
"98","2010-04-08",17.82
"99","2010-04-09",17.29
"100","2010-04-10",14.37
"101","2010-04-11",13.75
"102","2010-04-12",14.95
"103","2010-04-13",11.77
"104","2010-04-14",13.62
"105","2010-04-15",13.68
"106","2010-04-16",16.74
"107","2010-04-17",18.47
"108","2010-04-18",16.85
"109","2010-04-19",14.4
"110","2010-04-20",12.51
"111","2010-04-21",13.88
"112","2010-04-22",17.12
"113","2010-04-23",19.95
"114","2010-04-24",17.88
"115","2010-04-25",18.07
"116","2010-04-26",20.27
"117","2010-04-27",20.9
"118","2010-04-28",17.65
"119","2010-04-29",15.58
"120","2010-04-30",16.53
"121","2010-05-01",8.87
"122","2010-05-02",11.46
"123","2010-05-03",11.78
"124","2010-05-04",15.01
"125","2010-05-05",14.59
"126","2010-05-06",12.87
"127","2010-05-07",9.43
"128","2010-05-08",11.22
"129","2010-05-09",13.39
"130","2010-05-10",10.32
"131","2010-05-11",11.62
"132","2010-05-12",13.48
"133","2010-05-13",14.44
"134","2010-05-14",17.28
"135","2010-05-15",15
"136","2010-05-16",17.53
"137","2010-05-17",18.44
"138","2010-05-18",20.61
"139","2010-05-19",21.78
"140","2010-05-20",24.55
"141","2010-05-21",24.26
"142","2010-05-22",27.33
"143","2010-05-23",27.72
"144","2010-05-24",20.33
"145","2010-05-25",17.65
"146","2010-05-26",17.38
"147","2010-05-27",18.84
"148","2010-05-28",15.81
"149","2010-05-29",19.18
"150","2010-05-30",16.11
"151","2010-05-31",14.93
"152","2010-06-01",21.83
"153","2010-06-02",22.78
"154","2010-06-03",26.94
"155","2010-06-04",26.89
"156","2010-06-05",22.98
"157","2010-06-06",19.79
"158","2010-06-07",19.32
"159","2010-06-08",21.21
"160","2010-06-09",18.23
"161","2010-06-10",20.07
"162","2010-06-11",19.56
"163","2010-06-12",21.02
"164","2010-06-13",20.17
"165","2010-06-14",17.92
"166","2010-06-15",19.84
"167","2010-06-16",22.57
"168","2010-06-17",20.05
"169","2010-06-18",15.42
"170","2010-06-19",19.36
"171","2010-06-20",23.66
"172","2010-06-21",26.03
"173","2010-06-22",26.44
"174","2010-06-23",25.26
"175","2010-06-24",26.58
"176","2010-06-25",27.15
"177","2010-06-26",29.39
"178","2010-06-27",27.7
"179","2010-06-28",26.97
"180","2010-06-29",25.38
"181","2010-06-30",25.56
"182","2010-07-01",24.58
"183","2010-07-02",25.18
"184","2010-07-03",22.95
"185","2010-07-04",23.41
"186","2010-07-05",22.7
"187","2010-07-06",22.26
"188","2010-07-07",25.96
"189","2010-07-08",29.93
"190","2010-07-09",27.62
"191","2010-07-10",26.33
"192","2010-07-11",22.86
"193","2010-07-12",20.16
"194","2010-07-13",20.52
"195","2010-07-14",20.19
"196","2010-07-15",21.1
"197","2010-07-16",21.01
"198","2010-07-17",23.39
"199","2010-07-18",27.81
"200","2010-07-19",27.65
"201","2010-07-20",23.86
"202","2010-07-21",21.46
"203","2010-07-22",20.5
"204","2010-07-23",23.97
"205","2010-07-24",25.82
"206","2010-07-25",23.69
"207","2010-07-26",25.16
"208","2010-07-27",23.79
"209","2010-07-28",22.15
"210","2010-07-29",22.01
"211","2010-07-30",23.67
"212","2010-07-31",22.86
"213","2010-08-01",22.77
"214","2010-08-02",22.07
"215","2010-08-03",20.01
"216","2010-08-04",21.34
"217","2010-08-05",20.02
"218","2010-08-06",20.98
"219","2010-08-07",23.91
