"","date","Tmin"
"1","2010-01-01",-1.64
"2","2010-01-02",-2.59
"3","2010-01-03",-1.82
"4","2010-01-04",-6.94
"5","2010-01-05",-6.74
"6","2010-01-06",-3.28
"7","2010-01-07",-6.83
"8","2010-01-08",-5.83
"9","2010-01-09",-4.54
"10","2010-01-10",-3.47
"11","2010-01-11",-0.53
"12","2010-01-12",-0.51
"13","2010-01-13",-0.61
"14","2010-01-14",-0.79
"15","2010-01-15",-0.06
"16","2010-01-16",0.64
"17","2010-01-17",2.23
"18","2010-01-18",0.74
"19","2010-01-19",2.94
"20","2010-01-20",1.83
"21","2010-01-21",0.93
"22","2010-01-22",1.57
"23","2010-01-23",5.31
"24","2010-01-24",2.17
"25","2010-01-25",2.12
"26","2010-01-26",0.9
"27","2010-01-27",-3.83
"28","2010-01-28",-0.08
"29","2010-01-29",3.08
"30","2010-01-30",-1.95
"31","2010-01-31",-3.31
"32","2010-02-01",-1.91
"33","2010-02-02",0.12
"34","2010-02-03",2.49
"35","2010-02-04",2.77
"36","2010-02-05",5.57
"37","2010-02-06",3.42
"38","2010-02-07",1.37
"39","2010-02-08",1.61
"40","2010-02-09",-0.24
"41","2010-02-10",0.46
"42","2010-02-11",-1.25
"43","2010-02-12",-0.56
"44","2010-02-13",0.6
"45","2010-02-14",0.04
"46","2010-02-15",-1.3
"47","2010-02-16",0.03
"48","2010-02-17",1.28
"49","2010-02-18",-1.75
"50","2010-02-19",1.17
"51","2010-02-20",-2.6
"52","2010-02-21",-2.56
"53","2010-02-22",2.17
"54","2010-02-23",1.65
"55","2010-02-24",2.02
"56","2010-02-25",5.85
"57","2010-02-26",4.84
"58","2010-02-27",3.7
"59","2010-02-28",4.79
"60","2010-03-01",-0.21
"61","2010-03-02",-2.14
"62","2010-03-03",1.13
"63","2010-03-04",1.28
"64","2010-03-05",-4.51
"65","2010-03-06",0.52
"66","2010-03-07",-4.96
"67","2010-03-08",-4.4
"68","2010-03-09",0.53
"69","2010-03-10",1.32
"70","2010-03-11",1.43
"71","2010-03-12",-0.32
"72","2010-03-13",3.26
"73","2010-03-14",3.6
"74","2010-03-15",1.59
"75","2010-03-16",0.42
"76","2010-03-17",2.52
"77","2010-03-18",4.67
"78","2010-03-19",8.26
"79","2010-03-20",9.06
"80","2010-03-21",5.78
"81","2010-03-22",5.05
"82","2010-03-23",0.49
"83","2010-03-24",6.83
"84","2010-03-25",9.97
"85","2010-03-26",6.81
"86","2010-03-27",5.76
"87","2010-03-28",4.74
"88","2010-03-29",6.9
"89","2010-03-30",6.29
"90","2010-03-31",3.25
"91","2010-04-01",1.49
"92","2010-04-02",4.21
"93","2010-04-03",3.68
"94","2010-04-04",5.1
"95","2010-04-05",3.12
"96","2010-04-06",5.91
"97","2010-04-07",6.47
"98","2010-04-08",2.21
"99","2010-04-09",2.94
"100","2010-04-10",5.13
"101","2010-04-11",4.78
"102","2010-04-12",5.49
"103","2010-04-13",3.2
"104","2010-04-14",5.99
"105","2010-04-15",3.57
"106","2010-04-16",3.96
"107","2010-04-17",0.71
"108","2010-04-18",1
"109","2010-04-19",4.53
"110","2010-04-20",3.54
"111","2010-04-21",1.25
"112","2010-04-22",0.83
"113","2010-04-23",1.16
"114","2010-04-24",1.27
"115","2010-04-25",9.42
"116","2010-04-26",7.34
"117","2010-04-27",5.17
"118","2010-04-28",6.2
"119","2010-04-29",8.77
"120","2010-04-30",6.9
"121","2010-05-01",6.56
"122","2010-05-02",6.66
"123","2010-05-03",4.5
"124","2010-05-04",1.2
"125","2010-05-05",1.36
"126","2010-05-06",6.55
"127","2010-05-07",5.33
"128","2010-05-08",6.41
"129","2010-05-09",5.91
"130","2010-05-10",3.39
"131","2010-05-11",1.22
"132","2010-05-12",-0.39
"133","2010-05-13",-0.24
"134","2010-05-14",2.58
"135","2010-05-15",4.48
"136","2010-05-16",3.34
"137","2010-05-17",4.37
"138","2010-05-18",4.22
"139","2010-05-19",5.46
"140","2010-05-20",8.33
"141","2010-05-21",12.17
"142","2010-05-22",9.27
"143","2010-05-23",8.8
"144","2010-05-24",10.96
"145","2010-05-25",10.02
"146","2010-05-26",8.88
"147","2010-05-27",8.51
"148","2010-05-28",6.02
"149","2010-05-29",9.02
"150","2010-05-30",11.65
"151","2010-05-31",8.51
"152","2010-06-01",10.67
"153","2010-06-02",9.63
"154","2010-06-03",7.75
"155","2010-06-04",7.87
"156","2010-06-05",10.36
"157","2010-06-06",13.27
"158","2010-06-07",10.78
"159","2010-06-08",11.1
"160","2010-06-09",11.12
"161","2010-06-10",12.83
"162","2010-06-11",12.01
"163","2010-06-12",8.23
"164","2010-06-13",9.37
"165","2010-06-14",11.29
"166","2010-06-15",8.13
"167","2010-06-16",7.74
"168","2010-06-17",7.34
"169","2010-06-18",9.96
"170","2010-06-19",6.5
"171","2010-06-20",6.45
"172","2010-06-21",10.43
"173","2010-06-22",11.19
"174","2010-06-23",10.83
"175","2010-06-24",11.13
"176","2010-06-25",12.06
"177","2010-06-26",12.84
"178","2010-06-27",11.14
"179","2010-06-28",12.82
"180","2010-06-29",14.83
"181","2010-06-30",14.86
"182","2010-07-01",12.33
"183","2010-07-02",17.39
"184","2010-07-03",13.3
"185","2010-07-04",10.25
"186","2010-07-05",11.71
"187","2010-07-06",9.45
"188","2010-07-07",13.59
"189","2010-07-08",15.5
"190","2010-07-09",13.02
"191","2010-07-10",15.37
"192","2010-07-11",15.48
"193","2010-07-12",15.26
"194","2010-07-13",14.1
"195","2010-07-14",14.52
