DDHH;Vertidos_urbanos;Volumen_urbano;Vertidos_industrial;Volumen_industrial;Vertidos_totales;Volumen_total
Cantabrico_Occidental;753;113602832;702;285113028;1209;398715860
Cantabrico_Oriental;834;256657644;905;912552308;1621;1169209952
Cuencas_Internas_Cataluna;1136;324200964;1069;469835874;1962;794036838
Cuencas_Mediterraneas_Andaluzas;14;160430207;44;2420632502;58;2581062709
Duero;4138;308057640;695;544259879;4598;852317519
Ebro;2067;394720602;1746;2618373706;3167;3013094308
Galicia_Costa;716;186466097;602;1905290204;1194;2091756301
Guadalete_Barbate;13;30930921;48;117587771;61;148518692
Guadalquivir_Ceuta_Melilla;628;288300680;371;357223463;914;645524143
Guadiana;285;120160995;164;29043462;376;149204457
Islas_Baleares;47;23768819;87;168607065;73;192375884
Islas_Canarias;77;154728428;107;2173534199;129;2328262627
Jucar;410;315479157;308;753110191;519;1068589349
Mino_Sil;1100;73794181;765;444847912;1452;518642093
Segura;183;69076890;105;740882873;254;809959763
Tajo;801;763367902;126;999403578;898;1762771480
Tinto_Odiel_Piedras;8;23512308;49;561422047;57;584934355
Total_global;13210;3607256267;7893;15501720062;18542;19108976329
